iter	Passed	Remaining
0	10	10457
1	24	12296
2	38	12937
3	52	13105
4	65	13132
5	79	13135
6	92	13053
7	105	13035
8	117	12975
9	131	13025
10	142	12792
11	154	12723
12	168	12819
13	182	12846
14	196	12893
15	209	12910
16	218	12623
17	231	12651
18	245	12659
19	254	12463
20	263	12265
21	274	12189
22	286	12189
23	300	12205
24	313	12219
25	322	12070
26	335	12088
27	345	12008
28	359	12022
29	372	12034
30	386	12075
31	400	12119
32	409	11988
33	419	11919
34	432	11937
35	441	11819
36	450	11721
37	458	11618
38	472	11645
39	486	11682
40	500	11703
41	508	11606
42	518	11543
43	533	11587
44	544	11556
45	553	11471
46	562	11396
47	574	11399
48	588	11420
49	602	11445
50	612	11392
51	625	11408
52	639	11423
53	651	11406
54	664	11416
55	678	11436
56	687	11370
57	701	11388
58	713	11377
59	726	11374
60	740	11397
61	755	11422
62	765	11378
63	780	11410
64	792	11395
65	805	11397
66	819	11408
67	828	11359
68	842	11361
69	853	11337
70	868	11365
71	882	11372
72	895	11374
73	909	11386
74	923	11394
75	938	11413
76	949	11377
77	964	11400
78	975	11371
79	988	11370
80	1001	11366
81	1015	11373
82	1029	11375
83	1042	11370
84	1050	11313
85	1064	11311
86	1080	11343
87	1094	11345
88	1103	11293
89	1116	11292
90	1129	11286
91	1143	11288
92	1153	11253
93	1167	11247
94	1184	11282
95	1198	11286
96	1212	11286
97	1226	11284
98	1239	11283
99	1253	11283
100	1266	11271
101	1280	11269
102	1296	11292
103	1307	11263
104	1321	11267
105	1336	11267
106	1349	11262
107	1357	11214
108	1371	11208
109	1383	11196
110	1397	11194
111	1411	11190
112	1424	11183
113	1437	11171
114	1450	11164
115	1464	11161
116	1480	11169
117	1494	11168
118	1508	11168
119	1522	11165
120	1535	11157
121	1549	11151
122	1562	11140
123	1575	11126
124	1589	11123
125	1601	11110
126	1611	11079
127	1625	11071
128	1638	11065
129	1651	11055
130	1666	11058
131	1680	11052
132	1695	11055
133	1709	11047
134	1722	11037
135	1736	11029
136	1749	11022
137	1762	11011
138	1775	10997
139	1788	10988
140	1798	10956
141	1811	10947
142	1824	10932
143	1838	10926
144	1852	10923
145	1866	10917
146	1881	10916
147	1895	10909
148	1909	10903
149	1923	10899
150	1936	10889
151	1949	10877
152	1962	10862
153	1970	10827
154	1984	10819
155	1997	10809
156	2011	10800
157	2022	10780
158	2036	10772
159	2048	10753
160	2062	10749
161	2077	10744
162	2091	10740
163	2104	10728
164	2118	10720
165	2127	10690
166	2140	10678
167	2153	10667
168	2167	10657
169	2180	10647
170	2193	10635
171	2203	10605
172	2213	10579
173	2227	10575
174	2242	10571
175	2250	10538
176	2264	10528
177	2277	10516
178	2290	10504
179	2302	10491
180	2316	10480
181	2331	10476
182	2342	10457
183	2353	10437
184	2366	10426
185	2379	10414
186	2395	10413
187	2408	10402
188	2419	10380
189	2433	10373
190	2446	10362
191	2460	10354
192	2473	10344
193	2487	10333
194	2499	10318
195	2513	10308
196	2525	10293
197	2538	10283
198	2552	10275
199	2566	10264
200	2581	10262
201	2596	10258
202	2611	10254
203	2626	10247
204	2640	10241
205	2649	10211
206	2662	10201
207	2676	10189
208	2690	10183
209	2701	10164
210	2716	10158
211	2725	10130
212	2739	10120
213	2752	10110
214	2763	10091
215	2778	10084
216	2793	10078
217	2806	10065
218	2819	10055
219	2832	10042
220	2845	10029
221	2857	10014
222	2870	10002
223	2883	9988
224	2897	9981
225	2911	9972
226	2921	9947
227	2934	9937
228	2947	9925
229	2962	9916
230	2977	9911
231	2992	9904
232	3005	9893
233	3019	9885
234	3033	9876
235	3047	9865
236	3061	9855
237	3069	9828
238	3077	9798
239	3090	9786
240	3105	9779
241	3118	9769
242	3134	9763
243	3148	9756
244	3162	9745
245	3171	9722
246	3185	9711
247	3200	9705
248	3210	9683
249	3223	9669
250	3236	9658
251	3249	9646
252	3262	9632
253	3276	9623
254	3289	9611
255	3304	9602
256	3315	9585
257	3324	9560
258	3335	9541
259	3348	9530
260	3362	9520
261	3370	9494
262	3383	9482
263	3397	9472
264	3407	9451
265	3422	9443
266	3435	9432
267	3448	9417
268	3458	9397
269	3471	9384
270	3485	9376
271	3499	9365
272	3513	9356
273	3527	9347
274	3541	9337
275	3555	9327
276	3568	9314
277	3578	9293
278	3592	9283
279	3606	9273
280	3616	9252
281	3625	9229
282	3638	9217
283	3651	9206
284	3664	9194
285	3679	9186
286	3694	9178
287	3706	9162
288	3720	9153
289	3730	9132
290	3744	9122
291	3757	9110
292	3770	9098
293	3784	9088
294	3794	9067
295	3807	9056
296	3821	9045
297	3835	9034
298	3845	9015
299	3862	9011
300	3877	9004
301	3894	9000
302	3905	8984
303	3921	8977
304	3935	8967
305	3944	8946
306	3958	8935
307	3971	8924
308	3986	8913
309	3999	8901
310	4013	8892
311	4027	8880
312	4042	8872
313	4056	8863
314	4071	8852
315	4080	8831
316	4094	8821
317	4103	8799
318	4116	8788
319	4129	8775
320	4144	8765
321	4158	8755
322	4171	8742
323	4185	8731
324	4199	8721
325	4215	8714
326	4224	8694
327	4239	8686
328	4254	8676
329	4265	8659
330	4279	8649
